Estimates,,,,,,
Profit and Loss - % of Revenue,,,,,,
Reporting Book:,ACCRUAL,ACCRUAL,ACCRUAL,,ACCRUAL,
As of Date:,,,,,,
Location:,,,,,,
Year To Date,,,,,,
12/25/22,,,,,,
,2022,2023,"2024 YTD
(10 Mo)",,"2024 Annualized
(10 Mo)",
Total Restaurant Contribution,"1,868,647.23","1,714,939.10","1,454,827.71",,"1,745,075.85",2%
,,,,,,
Rent,"367,220.14","100,062.58","218,197.58",,"261,837.10",
Rent CAM,"12,637.38","47,712.34","44,921.30",,"53,905.56",
Percentage Rent,,,"66,862.35",,"80,234.82",
Total Rent Expense,"379,857.52","147,774.92","329,981.23",,"395,977.48",168%
,,,,,,
Accounting,"31,351.32","35,216.46","32,146.38",,"38,575.66",
Consulting,"20,040.76","23,921.23","89,469.81",,"107,363.77",
Contributions/Donations,"20,000.00","1,000.00",100.00,,120.00,
Management Fee Expense,"266,449.38","262,761.36","192,846.78",,"231,416.14",
Legal,"1,867.42",771.55,841.50,,"1,009.80",
Miscellaneous Expense (Income),"22,069.21",0.00,,,0.00,
Research & Development,"4,878.19",911.00,"2,620.69",,"3,144.83",
Permits & Licenses,"6,486.40","5,620.65","58,013.76",,"69,616.51",
Truck & Auto Expense,35.24,0.00,,,0.00,
Insurance,"30,466.83","42,982.92","42,847.08",,"51,416.50",
Total Other Expenses,"403,644.75","373,185.17","418,886.00",,"502,663.20",35%
,,,,,,
Total Fixed Expenses,"783,502.27","520,960.09","748,867.23",,"898,640.68",
Total EBITDA,"1,085,144.96","1,193,979.01","705,960.48",,"846,435.18",
Taxes and Depreciation,25%,27%,22%,,,
,,,,,,
Depreciation & Amortization Expense,"17,365.00","17,365.00",,,,
,,"5,117.84","7,310.00",,"7,310.00",
California Corporate Income Tax,"100,947.14","99,885.00","75,669.00",,"75,669.00",
Interest Income,-135.51,0.00,,,,
Total Taxes and Depreciation,"118,176.63","122,367.84","82,979.00",,"82,979.00",
Total Net Profit(Loss),"966,968.33","1,071,611.17","622,981.48",,"763,456.18",
,22%,24%,19%,,,
,,,,,,
,,,Pro Forma,,"974,306.87",
,,,Patino earnings,,"48,715.34",
,,,Patino value @ P/E,,,
,,,4.00,,"194,861.37",
,,,5.00,,"243,576.72",
,,,6.00,,"292,292.06",
,,,7.00,,"341,007.40",
,,,8.00,,"389,722.75",
